iter	Passed	Remaining
415	2813	44524
416	2819	44512
417	2826	44500
418	2832	44482
419	2839	44481
420	2845	44468
421	2851	44450
422	2857	44431
423	2864	44420
424	2870	44404
425	2876	44389
426	2883	44380
427	2889	44365
428	2895	44354
429	2901	44337
430	2907	44320
431	2911	44268
432	2917	44252
433	2923	44236
434	2933	44270
435	2939	44257
436	2946	44244
437	2952	44228
438	2958	44214
439	2965	44206
440	2971	44198
441	2977	44183
442	2984	44174
443	2990	44162
444	2997	44149
445	3003	44135
446	3009	44121
447	3015	44106
448	3021	44091
449	3028	44079
450	3034	44067
451	3041	44057
452	3047	44051
453	3054	44040
454	3060	44027
455	3066	44011
456	3073	43998
457	3079	43985
458	3085	43972
459	3089	43922
460	3095	43914
461	3101	43897
462	3108	43882
463	3114	43868
464	3120	43857
465	3127	43849
466	3133	43839
467	3140	43833
468	3146	43819
469	3152	43803
470	3159	43797
471	3165	43780
472	3171	43770
473	3178	43761
474	3184	43748
475	3191	43739
476	3197	43729
477	3205	43743
478	3213	43748
479	3220	43750
480	3227	43739
481	3233	43731
482	3240	43721
483	3246	43707
484	3252	43697
485	3259	43683
486	3266	43680
487	3273	43676
488	3279	43672
489	3286	43661
490	3292	43652
491	3299	43643
492	3305	43633
493	3311	43618
494	3318	43615
495	3325	43611
496	3332	43600
497	3338	43583
498	3344	43573
499	3351	43569
500	3358	43566
501	3364	43555
502	3371	43544
503	3377	43530
504	3383	43518
505	3390	43510
506	3396	43498
507	3402	43485
508	3408	43472
509	3415	43461
510	3421	43450
511	3427	43439
512	3434	43429
513	3440	43419
514	3447	43405
515	3453	43392
516	3459	43378
517	3465	43369
518	3471	43351
519	3477	43338
520	3483	43319
521	3490	43311
522	3496	43303
523	3502	43286
524	3508	43265
525	3514	43256
526	3521	43247
527	3527	43236
528	3533	43223
529	3539	43211
530	3546	43202
531	3552	43186
532	3559	43187
533	3568	43205
534	3576	43213
535	3583	43212
536	3591	43221
537	3598	43218
538	3604	43211
539	3610	43197
540	3617	43187
541	3623	43175
542	3630	43171
543	3636	43161
544	3643	43150
545	3649	43144
546	3656	43131
547	3662	43119
548	3668	43105
549	3674	43095
550	3681	43086
551	3687	43077
552	3694	43066
553	3700	43054
554	3706	43047
555	3713	43036
556	3719	43021
557	3725	43010
558	3731	42997
559	3737	42985
560	3744	42975
561	3750	42965
562	3756	42951
563	3762	42940
564	3769	42929
565	3775	42922
566	3782	42915
567	3788	42903
568	3795	42892
569	3801	42880
570	3807	42869
571	3814	42861
572	3819	42843
573	3825	42830
574	3832	42820
575	3838	42811
576	3844	42799
577	3851	42788
578	3857	42778
579	3862	42749
580	3868	42742
581	3875	42733
582	3881	42721
583	3887	42711
584	3894	42702
585	3900	42694
586	3907	42686
587	3915	42699
588	3921	42687
589	3928	42676
590	3934	42665
591	3940	42654
592	3947	42651
593	3953	42641
594	3960	42631
595	3966	42620
596	3972	42609
597	3979	42602
598	3985	42588
599	3991	42577
600	3998	42568
601	4004	42561
602	4011	42553
603	4017	42544
604	4023	42533
605	4030	42523
606	4036	42514
607	4043	42505
608	4049	42494
609	4055	42484
610	4062	42475
611	4068	42465
612	4074	42457
613	4080	42445
614	4087	42434
615	4093	42425
616	4100	42417
617	4106	42404
618	4112	42396
619	4118	42384
620	4125	42376
621	4131	42368
622	4138	42359
623	4144	42352
624	4150	42339
625	4157	42332
626	4164	42326
627	4170	42319
628	4180	42347
629	4189	42359
630	4196	42356
631	4203	42350
632	4209	42343
633	4216	42334
634	4222	42326
635	4229	42317
636	4235	42305
637	4242	42300
638	4248	42294
639	4255	42286
640	4261	42278
641	4268	42274
642	4276	42274
643	4283	42272
644	4289	42263
645	4296	42261
646	4303	42254
647	4310	42249
648	4317	42247
649	4324	42244
650	4330	42236
651	4336	42225
652	4343	42215
653	4349	42205
654	4356	42197
655	4362	42188
656	4369	42183
657	4375	42173
658	4381	42162
659	4388	42152
660	4394	42144
661	4401	42135
662	4407	42127
663	4414	42119
664	4420	42109
665	4426	42098
666	4432	42086
667	4439	42078
668	4445	42071
669	4451	42059
670	4457	42047
671	4464	42036
672	4470	42028
673	4476	42018
674	4483	42010
675	4489	42003
676	4496	41992
677	4502	41979
678	4508	41971
679	4515	41965
680	4521	41956
681	4528	41947
682	4534	41936
683	4540	41928
684	4547	41922
685	4553	41911
686	4560	41904
687	4566	41896
688	4573	41892
689	4579	41882
690	4586	41873
691	4592	41867
692	4599	41858
693	4605	41846
694	4611	41837
695	4618	41830
696	4624	41821
697	4631	41814
698	4637	41804
699	4643	41794
700	4650	41787
701	4656	41777
702	4662	41767
703	4669	41758
704	4675	41746
705	4682	41740
706	4688	41732
707	4695	41727
708	4701	41717
709	4707	41708
710	4714	41697
711	4720	41688
712	4726	41680
713	4733	41677
714	4741	41675
715	4748	41671
716	4755	41668
717	4761	41656
718	4767	41645
719	4773	41637
720	4779	41626
721	4786	41619
722	4792	41607
723	4798	41597
724	4805	41589
725	4811	41579
726	4817	41569
727	4824	41560
728	4830	41551
729	4836	41542
730	4843	41534
731	4849	41526
732	4855	41515
733	4861	41505
734	4868	41494
735	4874	41482
736	4880	41475
737	4887	41468
738	4893	41460
739	4900	41452
740	4906	41446
741	4916	41462
742	4922	41452
743	4928	41444
744	4934	41433
745	4941	41426
746	4947	41415
747	4953	41405
748	4960	41396
749	4966	41387
750	4972	41379
751	4979	41371
752	4985	41361
753	4991	41348
754	4997	41340
755	5004	41332
756	5011	41326
757	5017	41318
758	5024	41311
759	5028	41288
760	5035	41279
761	5041	41271
762	5047	41259
763	5053	41249
764	5059	41240
765	5066	41230
766	5072	41220
767	5079	41214
768	5085	41203
769	5091	41193
770	5097	41184
771	5103	41174
772	5110	41164
773	5116	41155
774	5122	41146
775	5129	41138
776	5135	41127
777	5142	41125
778	5148	41115
779	5154	41102
780	5160	41092
781	5167	41085
782	5176	41098
783	5183	41100
784	5191	41100
785	5196	41081
786	5203	41075
787	5209	41068
788	5216	41062
789	5222	41052
790	5228	41045
791	5235	41038
792	5242	41030
793	5248	41022
794	5255	41017
795	5259	40992
796	5266	40988
797	5273	40984
798	5280	40980
799	5287	40976
800	5294	40971
801	5300	40962
802	5307	40958
803	5314	40952
804	5320	40942
805	5326	40935
806	5333	40930
807	5340	40925
808	5347	40920
809	5353	40913
810	5360	40905
811	5366	40897
812	5372	40888
813	5379	40878
814	5385	40869
815	5391	40859
816	5397	40850
817	5404	40842
818	5410	40832
819	5416	40825
820	5423	40818
821	5430	40811
822	5436	40802
823	5442	40793
824	5448	40784
825	5455	40774
826	5461	40768
827	5468	40760
828	5474	40751
829	5480	40742
830	5487	40734
831	5493	40725
832	5499	40714
833	5505	40705
834	5515	40725
835	5522	40719
836	5531	40729
837	5537	40720
838	5543	40710
839	5549	40699
840	5556	40694
841	5563	40686
842	5569	40679
843	5576	40672
844	5582	40664
845	5588	40655
846	5595	40645
847	5601	40638
848	5608	40631
849	5614	40622
850	5620	40611
851	5626	40603
852	5633	40595
853	5639	40587
854	5646	40578
855	5651	40567
856	5658	40558
857	5664	40551
858	5671	40546
859	5678	40538
860	5684	40531
861	5690	40521
862	5697	40514
863	5703	40505
864	5709	40497
865	5716	40489
866	5722	40481
867	5729	40477
868	5736	40469
869	5743	40465
870	5749	40456
871	5755	40449
872	5761	40438
873	5768	40429
874	5774	40420
875	5780	40412
876	5787	40406
877	5794	40400
878	5800	40390
879	5806	40381
880	5812	40374
881	5819	40364
882	5825	40356
883	5832	40349
884	5838	40340
885	5844	40332
886	5850	40322
887	5857	40313
888	5863	40306
889	5869	40296
890	5876	40288
891	5882	40281
892	5889	40274
893	5895	40264
894	5901	40255
895	5910	40268
896	5917	40260
897	5923	40254
898	5930	40245
899	5936	40237
900	5943	40231
901	5950	40225
902	5956	40220
903	5963	40211
904	5969	40206
905	5976	40199
906	5982	40191
907	5989	40184
908	5995	40175
909	6001	40166
910	6008	40158
911	6014	40149
912	6020	40140
913	6026	40131
914	6033	40122
915	6039	40113
916	6045	40104
917	6051	40095
918	6058	40087
919	6064	40078
920	6070	40070
921	6077	40063
922	6083	40055
923	6090	40049
924	6096	40041
925	6103	40033
926	6109	40026
927	6116	40018
928	6122	40012
929	6129	40003
930	6135	39995
931	6141	39988
932	6148	39980
933	6156	39986
934	6164	39987
935	6171	39985
936	6178	39980
937	6185	39972
938	6191	39966
939	6198	39960
940	6204	39952
941	6211	39944
942	6218	39939
943	6225	39936
944	6231	39928
945	6238	39923
946	6245	39919
947	6252	39915
948	6258	39908
949	6265	39902
950	6272	39898
951	6279	39893
952	6286	39886
953	6292	39877
954	6298	39871
955	6305	39864
956	6311	39857
957	6318	39848
958	6325	39845
959	6332	39843
960	6342	39857
961	6354	39881
962	6369	39930
963	6384	39975
964	6396	40005
965	6409	40036
966	6424	40079
967	6439	40128
968	6453	40164
969	6466	40195
970	6478	40224
971	6490	40252
972	6504	40288
973	6515	40311
974	6526	40331
975	6537	40351
976	6551	40386
977	6561	40403
978	6570	40410
979	6577	40404
980	6583	40396
981	6590	40388
982	6597	40381
983	6603	40373
984	6610	40367
985	6616	40358
986	6623	40349
987	6629	40341
988	6636	40335
989	6643	40329
990	6649	40320
991	6656	40312
992	6662	40304
993	6669	40297
994	6675	40288
995	6682	40280
996	6688	40271
997	6694	40262
998	6701	40253
999	6705	40234
1000	6712	40225
1001	6718	40217
1002	6724	40208
1003	6731	40198
1004	6737	40191
1005	6743	40181
1006	6750	40175
1007	6757	40168
1008	6763	40161
1009	6770	40152
1010	6776	40144
1011	6782	40134
1012	6789	40125
1013	6795	40116
1014	6802	40108
1015	6808	40099
1016	6814	40090
1017	6820	40080
1018	6827	40072
1019	6833	40064
1020	6840	40055
1021	6846	40047
1022	6852	40038
1023	6859	40030
1024	6866	40023
1025	6872	40015
1026	6878	40004
1027	6884	39996
1028	6891	39990
1029	6897	39981
1030	6908	39996
1031	6915	39991
1032	6923	39994
1033	6932	39999
1034	6940	40001
1035	6947	39995
1036	6954	39990
1037	6961	39983
1038	6968	39977
1039	6975	39972
1040	6981	39966
1041	6988	39959
1042	6994	39950
1043	7001	39942
1044	7007	39935
1045	7014	39930
1046	7021	39923
1047	7028	39917
1048	7035	39911
1049	7041	39904
1050	7048	39895
1051	7054	39888
1052	7061	39881
1053	7068	39874
1054	7074	39866
1055	7081	39859
1056	7087	39851
1057	7094	39843
1058	7100	39835
1059	7107	39828
1060	7114	39822
1061	7121	39816
1062	7127	39809
1063	7135	39810
1064	7143	39810
1065	7151	39809
1066	7158	39804
1067	7165	39797
1068	7172	39792
1069	7178	39785
1070	7185	39779
1071	7192	39773
1072	7199	39769
1073	7206	39761
1074	7213	39758
1075	7220	39752
1076	7227	39745
1077	7233	39738
1078	7240	39733
1079	7247	39729
1080	7254	39722
1081	7261	39716
1082	7267	39707
1083	7274	39700
1084	7281	39695
1085	7288	39688
1086	7294	39682
1087	7301	39677
1088	7308	39671
1089	7315	39662
1090	7322	39658
1091	7328	39650
1092	7335	39644
1093	7342	39637
1094	7348	39630
1095	7355	39624
1096	7362	39617
1097	7368	39609
1098	7375	39601
1099	7381	39593
1100	7388	39586
1101	7395	39578
1102	7401	39570
1103	7408	39564
1104	7414	39556
1105	7421	39547
1106	7428	39542
1107	7434	39533
1108	7441	39526
1109	7447	39516
1110	7453	39508
1111	7460	39501
1112	7466	39493
1113	7473	39485
1114	7479	39476
1115	7485	39469
1116	7492	39460
1117	7498	39452
1118	7505	39445
1119	7511	39437
1120	7519	39433
1121	7525	39424
1122	7531	39415
1123	7538	39407
1124	7544	39398
1125	7550	39389
1126	7557	39380
1127	7563	39373
1128	7570	39365
1129	7576	39355
1130	7582	39347
1131	7589	39340
1132	7595	39332
1133	7601	39323
1134	7608	39315
1135	7615	39308
1136	7621	39301
1137	7628	39294
1138	7634	39286
1139	7641	39279
1140	7647	39270
1141	7653	39261
1142	7660	39253
1143	7666	39246
1144	7673	39239
1145	7680	39233
1146	7687	39226
1147	7693	39218
1148	7699	39208
1149	7706	39201
1150	7712	39193
1151	7719	39185
1152	7725	39177
1153	7731	39167
1154	7738	39160
1155	7744	39150
1156	7751	39146
1157	7758	39139
1158	7764	39132
1159	7771	39124
1160	7777	39117
1161	7784	39109
1162	7790	39101
1163	7797	39093
1164	7804	39087
1165	7810	39081
1166	7817	39075
1167	7824	39066
1168	7830	39060
1169	7837	39054
1170	7844	39047
1171	7851	39041
1172	7857	39033
1173	7864	39025
1174	7870	39018
1175	7877	39010
1176	7883	39002
1177	7890	38995
1178	7896	38987
1179	7905	38993
1180	7912	38984
1181	7918	38974
1182	7924	38967
1183	7931	38958
1184	7937	38950
1185	7944	38943
1186	7950	38937
1187	7957	38930
1188	7964	38924
1189	7970	38915
1190	7977	38908
1191	7983	38901
1192	7990	38894
1193	7997	38887
1194	8003	38879
1195	8010	38873
1196	8017	38866
1197	8023	38859
1198	8030	38853
1199	8037	38846
1200	8043	38838
1201	8050	38831
1202	8056	38822
1203	8062	38814
1204	8069	38806
1205	8075	38799
1206	8082	38791
1207	8088	38783
1208	8095	38776
1209	8103	38776
1210	8111	38773
1211	8118	38772
1212	8125	38766
1213	8132	38760
1214	8139	38755
1215	8146	38748
1216	8153	38742
1217	8159	38735
1218	8166	38730
1219	8173	38724
1220	8180	38719
1221	8187	38713
1222	8194	38707
1223	8201	38702
1224	8208	38697
1225	8215	38691
1226	8222	38684
1227	8229	38679
1228	8236	38674
1229	8242	38666
1230	8248	38656
1231	8255	38649
1232	8261	38641
1233	8268	38633
1234	8274	38625
1235	8280	38617
1236	8287	38609
1237	8293	38601
1238	8300	38595
1239	8307	38588
1240	8314	38582
1241	8321	38577
1242	8327	38570
1243	8334	38564
1244	8340	38555
1245	8347	38549
1246	8354	38541
1247	8360	38533
1248	8366	38525
1249	8373	38517
1250	8379	38510
1251	8386	38502
1252	8393	38495
1253	8399	38488
1254	8406	38481
1255	8412	38474
1256	8419	38466
1257	8425	38457
1258	8431	38447
1259	8438	38441
1260	8444	38433
1261	8451	38425
1262	8457	38418
1263	8464	38409
1264	8470	38402
1265	8477	38396
1266	8483	38388
1267	8490	38379
1268	8496	38372
1269	8503	38365
1270	8509	38358
1271	8516	38350
1272	8522	38342
1273	8529	38334
1274	8535	38326
1275	8542	38318
1276	8548	38311
1277	8555	38304
1278	8562	38298
1279	8568	38289
1280	8574	38281
1281	8581	38274
1282	8588	38267
1283	8594	38260
1284	8600	38252
1285	8607	38245
1286	8613	38236
1287	8620	38229
1288	8626	38222
1289	8633	38215
1290	8640	38208
1291	8646	38200
1292	8653	38193
1293	8659	38185
1294	8666	38177
1295	8673	38173
1296	8680	38166
1297	8686	38159
1298	8693	38152
1299	8699	38144
1300	8705	38136
1301	8713	38131
1302	8719	38124
1303	8726	38118
1304	8733	38111
1305	8739	38102
1306	8745	38094
1307	8751	38085
1308	8758	38077
1309	8764	38070
1310	8771	38063
1311	8777	38055
1312	8784	38047
1313	8790	38040
1314	8797	38032
1315	8804	38026
1316	8810	38018
1317	8817	38012
1318	8823	38004
1319	8830	37998
1320	8837	37990
1321	8844	37985
1322	8850	37979
1323	8857	37972
1324	8864	37965
1325	8870	37957
1326	8876	37949
1327	8883	37941
1328	8889	37933
1329	8899	37939
1330	8905	37930
1331	8911	37922
1332	8918	37914
1333	8925	37908
1334	8931	37901
1335	8938	37893
1336	8945	37888
1337	8951	37881
1338	8958	37873
1339	8965	37867
1340	8971	37860
1341	8977	37851
1342	8984	37845
1343	8991	37838
1344	8997	37831
1345	9004	37822
1346	9010	37815
1347	9017	37809
1348	9024	37802
1349	9030	37794
1350	9036	37786
1351	9043	37780
1352	9050	37773
1353	9057	37766
1354	9063	37757
1355	9069	37749
1356	9075	37741
1357	9082	37735
1358	9089	37728
1359	9098	37733
1360	9106	37729
1361	9113	37726
1362	9120	37721
1363	9127	37715
1364	9133	37705
1365	9140	37698
1366	9146	37689
1367	9152	37681
1368	9159	37675
1369	9166	37668
1370	9173	37663
1371	9179	37656
1372	9186	37650
1373	9193	37644
1374	9200	37637
1375	9207	37632
1376	9214	37626
1377	9220	37618
1378	9227	37611
1379	9233	37603
1380	9240	37596
1381	9247	37591
1382	9254	37585
1383	9260	37579
1384	9267	37571
1385	9273	37563
1386	9280	37556
1387	9286	37548
1388	9293	37541
1389	9299	37533
1390	9306	37528
1391	9313	37521
1392	9319	37513
1393	9326	37505
1394	9332	37497
1395	9339	37490
1396	9345	37481
1397	9351	37474
1398	9358	37467
1399	9364	37459
1400	9371	37452
1401	9378	37445
1402	9384	37438
1403	9391	37430
1404	9397	37422
1405	9403	37413
1406	9409	37404
1407	9416	37397
1408	9423	37391
1409	9429	37385
1410	9436	37377
1411	9442	37369
1412	9448	37360
1413	9454	37351
1414	9461	37344
1415	9467	37336
1416	9474	37329
1417	9480	37321
1418	9487	37313
1419	9493	37304
1420	9499	37297
1421	9506	37291
1422	9513	37283
1423	9519	37275
1424	9525	37267
1425	9532	37259
1426	9538	37252
1427	9545	37244
1428	9551	37236
1429	9557	37229
1430	9564	37221
1431	9570	37213
1432	9577	37206
1433	9583	37198
1434	9590	37192
1435	9596	37184
1436	9603	37177
1437	9609	37169
1438	9616	37162
1439	9622	37153
1440	9629	37146
1441	9635	37139
1442	9642	37133
1443	9649	37126
1444	9655	37119
1445	9662	37112
1446	9668	37105
1447	9675	37098
1448	9681	37090
1449	9688	37083
1450	9694	37074
1451	9701	37067
1452	9707	37060
1453	9714	37053
1454	9720	37045
1455	9726	37037
1456	9733	37029
1457	9739	37022
1458	9746	37016
1459	9753	37009
1460	9759	37002
1461	9766	36995
1462	9772	36986
1463	9779	36979
1464	9785	36970
1465	9791	36961
1466	9798	36954
1467	9804	36947
1468	9810	36939
1469	9817	36932
1470	9824	36925
1471	9830	36918
1472	9837	36910
1473	9843	36903
1474	9849	36895
1475	9856	36886
1476	9862	36879
1477	9869	36871
1478	9875	36865
1479	9882	36859
1480	9892	36864
1481	9899	36858
1482	9905	36851
1483	9912	36845
1484	9919	36838
1485	9925	36831
1486	9932	36823
1487	9938	36816
1488	9945	36810
1489	9952	36803
1490	9958	36795
1491	9965	36787
1492	9971	36780
1493	9978	36773
1494	9984	36767
1495	9991	36760
1496	9998	36755
1497	10004	36746
1498	10011	36741
1499	10028	36769
1500	10039	36780
1501	10048	36781
1502	10055	36775
1503	10061	36768
1504	10069	36765
1505	10077	36761
1506	10083	36755
1507	10090	36750
1508	10097	36742
1509	10103	36735
1510	10110	36727
1511	10116	36718
1512	10122	36710
1513	10129	36703
1514	10135	36696
1515	10142	36690
1516	10149	36683
1517	10156	36678
1518	10163	36672
1519	10169	36665
1520	10176	36657
1521	10182	36649
1522	10189	36644
1523	10196	36639
1524	10203	36631
1525	10209	36624
1526	10216	36617
1527	10222	36610
1528	10229	36601
1529	10235	36594
1530	10244	36594
1531	10253	36597
1532	10261	36594
1533	10270	36594
1534	10278	36592
1535	10285	36588
1536	10292	36583
1537	10299	36578
1538	10306	36572
1539	10314	36567
1540	10320	36561
1541	10327	36555
1542	10334	36549
1543	10341	36544
1544	10348	36537
1545	10354	36530
1546	10361	36523
1547	10368	36517
1548	10375	36510
1549	10381	36504
1550	10388	36497
1551	10395	36492
1552	10402	36486
1553	10409	36480
1554	10416	36474
1555	10423	36468
1556	10429	36461
1557	10436	36454
1558	10443	36448
1559	10450	36441
1560	10457	36435
1561	10463	36429
1562	10470	36421
1563	10476	36414
1564	10483	36408
1565	10490	36401
1566	10497	36396
1567	10504	36391
1568	10511	36384
1569	10517	36376
1570	10524	36370
1571	10531	36366
1572	10538	36359
1573	10545	36353
1574	10552	36347
1575	10559	36340
1576	10566	36334
1577	10572	36328
1578	10579	36320
1579	10585	36313
1580	10592	36307
1581	10599	36299
1582	10605	36292
1583	10612	36285
1584	10619	36279
1585	10625	36272
1586	10632	36267
1587	10639	36260
1588	10646	36254
1589	10653	36247
1590	10660	36241
1591	10666	36235
1592	10673	36229
1593	10680	36223
1594	10687	36217
1595	10694	36210
1596	10700	36203
1597	10707	36196
1598	10714	36190
1599	10721	36184
1600	10728	36177
1601	10734	36171
1602	10741	36166
1603	10748	36158
1604	10755	36151
1605	10761	36145
1606	10768	36139
1607	10775	36133
1608	10782	36126
1609	10789	36120
1610	10796	36114
1611	10802	36107
1612	10809	36100
1613	10816	36093
1614	10822	36086
1615	10829	36078
1616	10835	36072
1617	10842	36065
1618	10849	36058
1619	10855	36051
1620	10862	36044
1621	10868	36037
1622	10875	36030
1623	10885	36033
1624	10891	36027
1625	10898	36020
1626	10905	36013
1627	10911	36006
1628	10918	36000
1629	10925	35994
1630	10932	35988
1631	10939	35981
1632	10945	35974
1633	10952	35967
1634	10959	35960
1635	10966	35954
1636	10972	35948
1637	10979	35942
1638	10986	35937
1639	10993	35929
1640	11000	35923
1641	11006	35914
1642	11012	35907
1643	11019	35900
1644	11025	35892
1645	11032	35886
1646	11039	35878
1647	11045	35870
1648	11055	35875
1649	11063	35872
1650	11070	35867
1651	11078	35862
1652	11088	35867
1653	11096	35865
1654	11103	35859
1655	11111	35856
1656	11118	35851
1657	11126	35847
1658	11133	35843
1659	11140	35837
1660	11147	35832
1661	11155	35827
1662	11162	35822
1663	11169	35816
1664	11176	35812
1665	11183	35807
1666	11190	35801
1667	11197	35794
1668	11204	35788
1669	11211	35781
1670	11217	35774
1671	11224	35767
1672	11231	35761
1673	11237	35754
1674	11244	35748
1675	11251	35741
1676	11257	35733
